"Country Name","Country Code","Indicator Name","Indicator Code","Sector Name","Sector Code",Attribute,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
"Bosnia and Herzegovina","963","Vertical Fiscal Imbalance (1- ratio of own revenue to own spending)","vfi","Subnational Government","SNG","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0400429628789425","0.116143710911274","0.134324908256531","0.184338167309761","0.129274487495422","0.128311932086945","0.0682637915015221","0.16119410097599","0.074438638985157","0.0662167146801949","-0.0446138232946396","-0.00851736590266228","0.0299059767276049","0.0705577284097672","0.0231863837689161","0.180754020810127",
"Bosnia and Herzegovina","963","Compensation of employees, share of general government","comp","Local Government","LG","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.123155474662781","0.117098346352577","0.11626136302948","0.118885330855846","0.116270579397678","0.11570742726326","0.123334027826786","0.117620132863522","0.121710956096649","0.121196523308754","0.12236400693655","0.126747354865074","0.128271535038948","0.126150414347649","0.120923139154911","0.122254908084869",
"Austria","122","Tax revenue decentralization (share of general government)","taxd","State Government","SG","Value","0.115197569131851","0.112742803990841","0.117077365517616","0.117573246359825","0.119556568562984","0.118451230227947","0.117139331996441","0.117324814200401","0.116064161062241","0.120535425841808","0.122873105108738","0.123027078807354","0.123630464076996","0.155088603496552","0.156794682145119","0.156566008925438","0.12871915102005","0.127497807145119","0.126323476433754","0.126735374331474","0.123582847416401","0.122962817549706","0.128397822380066","0.0190567690879107","0.0178811848163605","0.0169824250042439","0.0176563840359449","0.0174249764531851","0.0168362222611904","0.0155546292662621","0.0161782205104828","0.0166706498712301","0.0168251134455204","0.0171268917620182","0.0172885712236166","0.0168566983193159","0.0168941933661699","0.0179065447300673","0.018084030598402","0.0177155993878841","0.0179225970059633","0.0177675485610962","0.0178186763077974","0.0173422265797853","0.0186731480062008","0.0186993684619665","0.0265063028782606","0.0262969732284546","0.0278359577059746",
"Austria","122","Tax revenue decentralization (share of general government)","taxd","Local Government","LG","Value","0.191641330718994","0.185301378369331","0.189455583691597","0.196846529841423","0.196112543344498","0.191977337002754","0.187422931194305","0.185155600309372","0.185603514313698","0.184643805027008","0.182802781462669","0.182593703269959","0.178493171930313","0.18693670630455","0.188110217452049","0.187704786658287","0.179808586835861","0.185451358556747","0.183379977941513","0.18631087243557","0.183888807892799","0.179721280932426","0.189622640609741","0.0596697479486465","0.0560504905879498","0.0541954413056374","0.0528946854174137","0.052641723304987","0.0491683259606361","0.0419969633221626","0.0429209098219872","0.043570838868618","0.0435050390660763","0.0438189432024956","0.0441277474164963","0.0433234348893166","0.042776808142662","0.0449305512011051","0.0449749231338501","0.0446026101708412","0.0445171259343624","0.0444347076117992","0.0444943793118","0.0428509823977947","0.0446969605982304","0.0448711253702641","0.0469963885843754","0.0473996810615063","0.0495496466755867",
"Austria","122","Tax revenue decentralization (share of general government)","taxd","Subnational Government","SNG","Value","0.306838899850845","0.298044174909592","0.306532949209213","0.314419776201248","0.315669119358063","0.310428559780121","0.304562270641327","0.302480399608612","0.301667660474777","0.305179238319397","0.305675894021988","0.305620789527893","0.302123636007309","0.342025309801102","0.344904899597168","0.344270795583725","0.308527737855911","0.312949180603027","0.309703469276428","0.313046246767044","0.307471662759781","0.302684098482132","0.318020462989807","0.078726515173912","0.0739316716790199","0.0711778625845909","0.0705510675907135","0.0700666978955269","0.0660045519471169","0.0575515925884247","0.0590991303324699","0.060241486877203","0.0603301525115967","0.0609458349645138","0.0614163167774677","0.0601801313459873","0.0596710033714771","0.0628370940685272","0.0630589500069618","0.0623182095587254","0.0624397210776806","0.0622022561728954","0.0623130574822426","0.0601932108402252","0.0633701086044312","0.0635704919695854","0.0735026970505714","0.0736966580152512","0.0773856043815613",
"Austria","122","Revenue decentralization (ratio of own revenues to general government revenues)","rd","State Government","SG","Value","0.0976360216736794","0.094623751938343","0.0999577939510345","0.099308542907238","0.101802349090576","0.100123465061188","0.0971909537911415","0.0956790819764137","0.0948782861232758","0.0964120328426361","0.097950354218483","0.0984875336289406","0.0990388840436935","0.118022859096527","0.11835990101099","0.11758379638195","0.101671695709229","0.0997489169239998","0.103078059852123","0.102834366261959","0.0993008613586426","0.0992196425795555","0.101506404578686","0.0357478074729443","0.0343322046101093","0.0356737785041332","0.0369486808776855","0.028518658131361","0.029108565300703","0.0311601310968399","0.0277903713285923","0.0271646548062563","0.0336166135966778","0.0346796289086342","0.0359647423028946","0.0352977029979229","0.0338125303387642","0.0320212095975876","0.0354375615715981","0.0361864157021046","0.0376619622111321","0.0373909361660481","0.0389126129448414","0.0357558578252792","0.0355871208012104","0.0383076965808868","0.041157566010952","0.0409433655440807","0.0419878326356411",
"Austria","122","Revenue decentralization (ratio of own revenues to general government revenues)","rd","Local Government","LG","Value","0.176042258739471","0.170772269368172","0.17459037899971","0.177591189742088","0.17405641078949","0.172107845544815","0.164347112178802","0.163411721587181","0.165264248847961","0.165019258856773","0.164997488260269","0.166460052132607","0.16199117898941","0.165498450398445","0.165863126516342","0.164776533842087","0.161650687456131","0.164536252617836","0.16419430077076","0.169825509190559","0.168518275022507","0.167017370462418","0.171395182609558","0.0932265967130661","0.100577063858509","0.0700544491410255","0.0673010647296906","0.0704823583364487","0.0657337680459023","0.0657502487301826","0.0705213993787766","0.0762822926044464","0.0658635199069977","0.0661940649151802","0.06245356798172","0.0617471039295197","0.0600118115544319","0.0650361329317093","0.0626780986785889","0.0602788999676704","0.0593947917222977","0.0590276718139648","0.0603018142282963","0.0620507039129734","0.0649029016494751","0.0625368505716324","0.0635726228356361","0.061358880251646","0.0660291835665703",
"Austria","122","Revenue decentralization (ratio of own revenues to general government revenues)","rd","Central Government","CG","Value",,,,,,,,,,,,,,,,,,,,,,,,"0.61460143327713","0.621986091136932","0.644418001174927","0.648118913173676","0.652279555797577","0.655597448348999","0.668133616447449","0.664071559906006","0.657095730304718","0.658844232559204","0.659737884998322","0.658228933811188","0.659870207309723","0.666105091571808","0.656188011169434","0.651072144508362","0.65626186132431","0.654329597949982","0.653511524200439","0.650035798549652","0.65263694524765","0.641514778137207","0.6397665143013","0.634864151477814","0.633358478546143","0.614545404911041",
"Austria","122","Revenue decentralization (ratio of own revenues to general government revenues)","rd","Subnational Government","SNG","Value","0.27367827296257","0.265396028757095","0.274548172950745","0.276899725198746","0.275858759880066","0.272231310606003","0.261538058519363","0.259090811014175","0.260142534971237","0.261431306600571","0.262947827577591","0.264947563409805","0.261030077934265","0.283521294593811","0.284223020076752","0.282360345125198","0.26332238316536","0.264285176992416","0.267272353172302","0.272659868001938","0.267819136381149","0.266237020492554","0.272901594638824","0.128974407911301","0.134909272193909","0.105728231370449","0.104249745607376","0.0990010127425194","0.094842329621315","0.0969103798270226","0.0983117744326591","0.103446945548058","0.0994801372289658","0.100873686373234","0.0984183102846146","0.0970448032021523","0.0938243418931961","0.0970573350787163","0.0981156602501869","0.0964653193950653","0.0970567539334297","0.0964186117053032","0.0992144271731377","0.0978065654635429","0.100490018725395","0.100844539701939","0.104730188846588","0.102302245795727","0.108017019927502",
"Austria","122","Expenditure decentralization (ratio of own spending to general government spending)","sd","State Government","SG","Value",,,,,,,,,,,,,,,,,,,,,,,,"0.132140249013901","0.144323259592056","0.148778587579727","0.151859164237976","0.154023036360741","0.158049300312996","0.165467023849487","0.167252287268639","0.169110327959061","0.150996491312981","0.159403964877129","0.161173939704895","0.161020800471306","0.163071945309639","0.158072367310524","0.163118064403534","0.161909162998199","0.161060854792595","0.159595146775246","0.157739326357841","0.161268636584282","0.166534021496773","0.166781634092331","0.166654720902443","0.167828246951103","0.155133038759232",
